review,sentiment
"This had a great cast with big-name stars like Tyrone Power, Henry Fonda, Randolph Scott, Nancy Kelly, Henry Hull and Brian Donlevey and a bunch more lesser-but-known names with shorter roles. It also had Technicolor, one of the few movies made with it in 1939.<br /><br />Now the bad news.......regrettably, I can't say much positive for the story. It portrayed the James boys in a totally positive light....and Hollywood has done that ever since. Why these criminals are always shown to be the ""good guys"" is beyond me. This film glamorizes them and made their enemies - the railroad people - into vicious human beings. The latter was exaggerated so much it was preposterous. Well, that's the film world for you: evil is good; good is bad.<br /><br />Hey Hollywood: here's a news flash - The James boys were criminals! Really - look it up!",negative
"`Manna From Heaven' is a delightfully compelling film.<br /><br />Within the shifting paradox of values in middle-class Americans from 40 years ago to the present day, the plot tweaks the concerns and hopes of an interesting range of `Damon Runyonesque' characters.<br /><br />Their struggles with moral dilemmas, dotting on `what might have been,' hopes to yet fulfill youthful dreams, romantic yearnings, and `hit it big' combine to make a most entertaining film. Rather than relying upon `in-your- face' sexual explicitness, the burgeoning relationship between Inez and Mac/Bake is classically subtle but clear. His untying the knot in her shoelace at the Art Gallery and their heat in their poker game is outstanding<br /><br />The script's crisp writing is skillfully interpreted by an outstanding star and supporting cast. One of the few films I have ever fone to see twice in its opening run, `Manna From Heaven' definitely warrants national distribution.<br /><br />Conrad F. Toepfer",positive
"Odd one should be able to stumble into ""Classe Tous Risques"" only by chance; it should be on any ""best of film-noir"" list, including IMDb's.<br /><br />Lino Ventura is as good as ever; knowing of his dire, delicate family situation gives extra weight to his almost expressionless face and brief dialogues. Belmondo's restrained performance under Sautet's firm direction only shows what a wonderful actor he could - and should -have been.<br /><br />""Classe Tous Risques"" is utterly mininal, dry and cold, without Melville's artistic scenery, pretty faces and fancy cars. It is almost film-noir meet neo-realism. Davos' few, hard words to his children describing their life of secrecy from there on get a hold on your throat to the end of the film. <br /><br />The final sentence of the film - a voice-over telling of Davos' end in no more than ten dry, sombre words - leaves you with a hard punch in the stomach.<br /><br />A true jewel in the great crown of French film-noir.",positive
"This is one of the greatest love story movies I have ever seen. Yes, I can agree that some parts may seem dated, but this does not distract from the film. One should try to observe, criticize and enjoy any art form from the perspective of the time. Clearly by the ""Sex in the City"" standards, Charlie Chaplin was horribly boring. However, when judged from the prospective of 1925 America, he was fantastic. Likewise Sayonara is a breakthrough film in its look into a mixed-race love affair, American ""manifest destiny"" arrogance and prejudice, and the complexity of different cultures. It is a natural next step to such films as Gentleman's Agreement. Its purpose, however, was not just social commentary, rather, it is entertaining and enjoyable, with innumerable lines that one just doesn't forget.<br /><br />However, even when taken only as a love story, it is terrific. Although, some attack Brando's accent, he is at his near best in nuance and characterization. Buttons and Umeki (who both won Oscars) and the rest of the supporting cast add much to the film.<br /><br />Taka, the real star, does a fabulous job making you feel the passion she has for Brando, while being torn by her sense of obligation and loyalty. Her speech when she first meets and speaks with Brando is a classic and something rarely if ever matched in cinema. The dialog between Taka and Brando in her dressing room in Tokyo at the film's end is equally good. Of course, it doesn't have the mouth-sucking, spit-swapping and worse, that exemplifies love in today's movies, but that makes it all the better. It portrays true love and passion, and not just ""heat."" If this movie doesn't touch you, then you are just too young, too cynical or dead.",positive
"To remake ""Lost Horizon"", as a musical, the need for a Rodgers & Hammerstein or Lerner & Lowe type musical composition was needed. Burt Bacharach and Hal David were the wrong choice. Having said that, my favorite thing about ""Lost Horizon"", is its score. It's just that the score doesn't fit the piece. The cast, is made-up of mostly non-musical talents (Ullman, Finch and Hussey, were all dubbed, and still don't sound all that great).<br /><br />Frankly, the novella, on which this, and the earlier non-musical film versions were based, is mediocre, at best. While the possibilities for a truly good, cinematic musical version exist, they are not realized here. The film succeeds at being a good, rainy-day vehicle, to pass the time. Otherwise, you are better off, buying the CD of its soundtrack. Only recommended as a curiosity piece, due to the film's awful reputation. I've seen much better; but I've seen MUCH worse.",negative
"Movies about U.F.O.'s are always a nice way to kill some time, so on a rainy Sunday evening I picked up this flick, expecting what can be expected from a direct-to-DVD U.F.O. mystery.<br /><br />Boy, was I wrong! At about halfway in the movie it becomes very apparent that the U.F.O. theme is just a deceptive way of attracting unsuspecting viewers to this Christian propaganda. And this is not just a Christan movie from an average Christian. No, this is Christianity of the extremist fundamentalist kind. The scary kind.<br /><br />In the end of this movie, the non-believing lead is tricked by their colleagues using a practical joke in thinking that the Rapture has started (which is believed by Christians to be the happening in the end of time where true believers are going to heaven and non-believers are left behind).<br /><br />When the joke is explained, it is suggested that it is always better to become a true believer, 'just in case we Christians are right'. Now that's a lamest excuse ever to become a Christian if you ask me!<br /><br />This movie still tries to convert non-believers using scare tactics. ""Believe in God or you will go to Hell!"" is the message here. Simple, but quite offensive, really. Especially because this movie is being sold as something completely different.<br /><br />Now let's assume you're a Christian fundamentalist yourself and you're not likely to be offended by the themes in this movie, is this a good movie? I'm afraid it isn't. No actually I'm lying: I'm GLAD it isn't! The acting is horrible, the pacing is horrible, the plot is horrible, especially the ending is laughably bad. As soon as the movie starts, you immediately sense that this is going to be worse than you expected, and you will be right.<br /><br />In the first half hour, it seems to at least attempt to set up a passable U.F.O. mystery, but then suddenly they bring in this Count Dracula look-alike that starts babbling about the devil. At first you just think this dude is just a crazy maniac, but as it turns out, he actually represents the real views of the makers of this movie. As soon as you start realizing this, you know how this is going to end up. But actually it ends up worse.<br /><br />Avoid.",negative
"The movie is excellent. Acting, cinematography, direction and music are spellbinding. It seems to me that the reason so many give the movie a low score is because of the devotion they have to the original, 1937 version starring Ronald Coleman. That movie - for good reason! - engendered an unbelievable level of commitment. From talking with people who saw the original when it first came out, I believe the impact was something akin to the first ""Starwars"" movie in modern times. I have seen it. It was and is wonderful. But that does not mean that this version is not also worthy. From the first scene the 1973 version grabs you. The noise and tumult are fantastic, especially in they way they prepare you for the peace of Shangri La. And Burt Bacharach's music is beautiful. So - by all means enjoy the 1937 version. But do not let it detract from your enjoyment of this 1973 version any more than you would let the 1935 King Kong destroy Peter Jackson's of this year.",positive
"I was surprised how much I enjoyed this. Sure it is a bit slow moving in parts, but what else would one expect from Rollin? Also there is plenty of nudity, nothing wrong with that, particularly as it includes lots of the gorgeous, Brigitte Lahaie. There are also some spectacularly eroticised female dead, bit more dodgey, perhaps, but most effective. There is also a sci-fi like storyline with a brief explanation at the end, but I wouldn't bother too much with that. No, here we have a most interesting exploration of memory and the effect of memory loss and to just what extent one is still 'alive' without memory. My DVD sleeve mentions David Cronenberg and whilst this is perhaps not quite as good as his best films, there is some similarity here, particularly with the great use of seemingly menacing architecture and the effective and creepy use of inside space. As I have tried to indicate this is by no means a rip roaring thriller, it is a captivating, nightmare like movie that makes the very most of its locations, including a stunning railway setting at the end.",positive
"I had few problems with this film, and I have heard a lot of criticisms saying it is overlong and overrated. True, it is over three hours long, but I was amazed that it goes by so quickly. I don't think it is overrated at all, I think the IMDb rating is perfectly decent. The film looks sumptuous, with gorgeous costumes and excellent effects, and the direction from James Cameron rarely slips from focus. Leonardo DiCaprio gives one of his best performances as Jack, and Kate Winslet is lovely as Rose. David Warner, a great actor, steals every scene he's in. The story is very rich in detail, and is hot on character development, obvious with the love story which is very moving when it needs to be, though in the first bit of the movie it is a little slow. The last hour is extremely riveting, and I will confess that I was on the edge of my seat, when the Titanic sank. I will also say that the last five minutes were very moving. The music score by James Horner was lovely, though I never was a huge fan of the song My Heart will Go On. The 1996 miniseries was good, but suffered from undeveloped scenarios and some historical inaccuracies. Overall, I give Titanic an 8.5/10. Bethany Cox.",positive
"Dubbed beyond comprehension, the HBO version of Lumumba is a disastrous rendering of what looks like what was once a decent film. Some scenes simply don't make sense in English and the actors bring zero energy to their voice reading. Add in the self-censorship involving CIA operative Frank Carlucci, and you have a film stripped of both its drama and its power. Here's hoping the subtitled version gets to American television screens at some point.",negative
